class_id,class_name,train_count,test_support,group,accuracy
0,synthetic_000,24,6,medium,1.0
1,synthetic_001,22,5,medium,0.0
2,synthetic_002,21,5,medium,0.0
3,synthetic_003,20,5,medium,0.0
4,synthetic_004,19,4,few,1.0
5,synthetic_005,19,4,few,1.0
6,synthetic_006,18,4,few,1.0
7,synthetic_007,17,4,few,1.0
8,synthetic_008,16,4,few,0.0
9,synthetic_009,15,3,few,1.0
10,synthetic_010,15,3,few,0.0
11,synthetic_011,14,3,few,0.0
12,synthetic_012,13,3,few,1.0
13,synthetic_013,13,3,few,0.0
14,synthetic_014,12,3,few,1.0
15,synthetic_015,11,2,few,0.0
16,synthetic_016,11,2,few,0.0
17,synthetic_017,10,2,few,0.0
18,synthetic_018,10,2,few,0.0
19,synthetic_019,9,2,few,0.0
20,synthetic_020,9,2,few,0.0
21,synthetic_021,9,2,few,1.0
22,synthetic_022,8,2,few,0.0
23,synthetic_023,8,2,few,0.0
24,synthetic_024,7,1,few,0.0
25,synthetic_025,7,1,few,0.0
26,synthetic_026,7,1,few,0.0
27,synthetic_027,6,1,few,1.0
28,synthetic_028,6,1,few,0.0
29,synthetic_029,6,1,few,0.0
30,synthetic_030,5,1,few,0.0
31,synthetic_031,5,1,few,0.0
32,synthetic_032,5,1,few,0.0
33,synthetic_033,5,1,few,0.0
34,synthetic_034,4,1,few,0.0
35,synthetic_035,4,1,few,0.0
36,synthetic_036,4,1,few,0.0
37,synthetic_037,4,1,few,0.0
38,synthetic_038,4,1,few,0.0
39,synthetic_039,3,1,few,0.0
40,synthetic_040,3,1,few,0.0
41,synthetic_041,3,1,few,0.0
42,synthetic_042,3,1,few,0.0
43,synthetic_043,3,1,few,0.0
44,synthetic_044,3,1,few,0.0
45,synthetic_045,2,1,few,0.0
46,synthetic_046,2,1,few,0.0
47,synthetic_047,2,1,few,0.0
48,synthetic_048,2,1,few,0.0
49,synthetic_049,2,1,few,0.0
50,synthetic_050,2,1,few,0.0
51,synthetic_051,2,1,few,0.0
52,synthetic_052,2,1,few,0.0
53,synthetic_053,2,1,few,0.0
54,synthetic_054,1,1,few,0.0
55,synthetic_055,1,1,few,0.0
56,synthetic_056,1,1,few,0.0
57,synthetic_057,1,1,few,0.0
58,synthetic_058,1,1,few,0.0
59,synthetic_059,1,1,few,0.0
60,synthetic_060,1,1,few,0.0
61,synthetic_061,1,1,few,0.0
62,synthetic_062,1,1,few,0.0
63,synthetic_063,1,1,few,0.0
64,synthetic_064,1,1,few,0.0
65,synthetic_065,1,1,few,0.0
66,synthetic_066,1,1,few,0.0
67,synthetic_067,1,1,few,0.0
68,synthetic_068,1,1,few,0.0
69,synthetic_069,1,1,few,0.0
70,synthetic_070,1,1,few,0.0
71,synthetic_071,1,1,few,0.0
72,synthetic_072,1,1,few,0.0
73,synthetic_073,1,1,few,0.0
74,synthetic_074,1,1,few,0.0
75,synthetic_075,1,1,few,0.0
76,synthetic_076,1,1,few,0.0
77,synthetic_077,1,1,few,0.0
78,synthetic_078,1,1,few,0.0
79,synthetic_079,1,1,few,0.0
80,synthetic_080,1,1,few,0.0
81,synthetic_081,1,1,few,0.0
82,synthetic_082,1,1,few,0.0
83,synthetic_083,1,1,few,0.0
84,synthetic_084,1,1,few,0.0
85,synthetic_085,1,1,few,0.0
86,synthetic_086,1,1,few,0.0
87,synthetic_087,1,1,few,0.0
88,synthetic_088,1,1,few,0.0
89,synthetic_089,1,1,few,0.0
90,synthetic_090,1,1,few,0.0
91,synthetic_091,1,1,few,0.0
92,synthetic_092,1,1,few,0.0
93,synthetic_093,1,1,few,0.0
94,synthetic_094,1,1,few,0.0
95,synthetic_095,1,1,few,0.0
96,synthetic_096,1,1,few,0.0
97,synthetic_097,1,1,few,0.0
98,synthetic_098,1,1,few,0.0
99,synthetic_099,1,1,few,0.0
